Local time,Open,High,Low,Close,Volume
08.03.2022 03:00:00.000 GMT+0300,1.08660,1.09582,1.08489,1.08978,204118.2031
09.03.2022 03:00:00.000 GMT+0300,1.08984,1.10951,1.08965,1.10733,137082.8125
10.03.2022 03:00:00.000 GMT+0300,1.10732,1.11212,1.09760,1.10133,176460.0781
11.03.2022 03:00:00.000 GMT+0300,1.10132,1.10435,1.09018,1.09099,170900.2813
12.03.2022 03:00:00.000 GMT+0300,1.09099,1.09099,1.09099,1.09099,0
13.03.2022 03:00:00.000 GMT+0300,1.09205,1.09387,1.09099,1.09316,10330.4258
14.03.2022 03:00:00.000 GMT+0300,1.09317,1.09938,1.09005,1.09426,193947.2188
15.03.2022 03:00:00.000 GMT+0300,1.09426,1.10196,1.09260,1.09667,230290.7813
16.03.2022 03:00:00.000 GMT+0300,1.09668,1.10466,1.09500,1.10214,247695.0625
17.03.2022 03:00:00.000 GMT+0300,1.10216,1.11375,1.10201,1.10990,156209.25
18.03.2022 03:00:00.000 GMT+0300,1.10991,1.11186,1.10030,1.10492,158708.7969
19.03.2022 03:00:00.000 GMT+0300,1.10492,1.10492,1.10492,1.10492,0
20.03.2022 03:00:00.000 GMT+0300,1.10561,1.10584,1.10408,1.10424,7806.0518
21.03.2022 03:00:00.000 GMT+0300,1.10423,1.10701,1.10102,1.10167,147074.5469
22.03.2022 03:00:00.000 GMT+0300,1.10166,1.10457,1.09608,1.10293,216645.2813
23.03.2022 03:00:00.000 GMT+0300,1.10296,1.10397,1.09639,1.10058,154713.3438
24.03.2022 03:00:00.000 GMT+0300,1.10058,1.10136,1.09659,1.10083,169420.2969
25.03.2022 03:00:00.000 GMT+0300,1.10086,1.10376,1.09797,1.09805,200813.5156
26.03.2022 03:00:00.000 GMT+0300,1.09805,1.09805,1.09805,1.09805,0
27.03.2022 03:00:00.000 GMT+0300,1.09845,1.09869,1.09772,1.09812,11802.0596
28.03.2022 03:00:00.000 GMT+0300,1.09814,1.09995,1.09446,1.09911,206053.0156
29.03.2022 03:00:00.000 GMT+0300,1.09911,1.11370,1.09690,1.10909,271959.375
30.03.2022 03:00:00.000 GMT+0300,1.10910,1.11710,1.10878,1.11613,275576.1563
31.03.2022 03:00:00.000 GMT+0300,1.11611,1.11848,1.10608,1.10726,186689.6563
01.04.2022 03:00:00.000 GMT+0300,1.10727,1.10757,1.10279,1.10427,185489.5156
02.04.2022 03:00:00.000 GMT+0300,1.10427,1.10427,1.10427,1.10427,0
03.04.2022 03:00:00.000 GMT+0300,1.10301,1.10456,1.10301,1.10454,3377.1189
04.04.2022 03:00:00.000 GMT+0300,1.10458,1.10544,1.09603,1.09749,91184.0469
05.04.2022 03:00:00.000 GMT+0300,1.09748,1.09886,1.09000,1.09058,84877.5938
06.04.2022 03:00:00.000 GMT+0300,1.09058,1.09379,1.08745,1.08975,131970.2969
07.04.2022 03:00:00.000 GMT+0300,1.08975,1.09383,1.08602,1.08640,183585.4219
08.04.2022 03:00:00.000 GMT+0300,1.08638,1.08917,1.08364,1.08744,114940.6484
09.04.2022 03:00:00.000 GMT+0300,1.08744,1.08744,1.08744,1.08744,0
10.04.2022 03:00:00.000 GMT+0300,1.09202,1.09202,1.08841,1.08841,10483.9941
11.04.2022 03:00:00.000 GMT+0300,1.08842,1.09332,1.08727,1.08769,133205.5938
